judul,penulis,link
The tourism industry and the risk of “the year 2038 problem”: Long-term thinking and the illogical cycle of ICT risk management,"Yael Ram, C. Michael Hall, ",https://onlinelibrary.wiley.com/doi/10.1002/jtr.2517
Lessons learned from psychosocial support and mental health surveys during the 10 years since the Great East Japan Earthquake: Establishing evidence-based disaster psychiatry,"Yasuto Kunii MD,PhD, Hitomi Usukura PhD, Kotaro Otsuka MD,PhD, Masaharu Maeda MD,PhD, Hirooki Yabe MD,PhD, Sho Takahashi MD,PhD, Hirokazu Tachikawa MD,PhD, Hiroaki Tomita MD,PhD, ",https://onlinelibrary.wiley.com/doi/10.1111/pcn.13339
"Political institutions, punctuated equilibrium theory, and policy disasters","E. J. Fagan, ",https://onlinelibrary.wiley.com/doi/10.1111/psj.12460
Risk Assessment of the Water Resources Carrying Capacity: A Case Study in North China,"Yan Han, Shifeng Zhang, Aifeng Lv, Huiping Zeng, ",https://onlinelibrary.wiley.com/doi/10.1111/1752-1688.12994
Global systemic risk and resilience for novel coronavirus in postpandemic era,"Desheng Dash Wu, Jade Mitchell, James H. Lambert, ",https://onlinelibrary.wiley.com/doi/10.1111/risa.13873
Flood risk and residential real-estate prices: Evidence from three US counties,"Ryan G. Miller, Nicholas Pinter, ",https://onlinelibrary.wiley.com/doi/10.1111/jfr3.12774
Potential clinical applications of phytopharmaceuticals for the in-patient management of coagulopathies in COVID-19,"Ashis K. Mukherjee, Dhruba J. Chattopadhyay, ",https://onlinelibrary.wiley.com/doi/10.1002/ptr.7408
"Forecasting Soil Erosion and Sediment Yields During Flash Floods: The Disastrous Case of Mandra, Greece, 2017","Konstantinos Kaffas,  Papaioannou, George Varlas, Mario J. Al Sayah, Anastasios Papadopoulos, Elias Dimitriou, Petros Katsafados, Maurizio Righetti, ",https://onlinelibrary.wiley.com/doi/10.1002/esp.5344
Life-threatening infections during treatment for acute lymphoblastic leukemia on the Malaysia-Singapore 2003 and 2010 clinical trials: A risk prediction model,"Bernice L. Z. Oh, Lijia Fan, Shawn H. R. Lee, Koon Mian Foo, Kean Hui Chiew, Zelia Z. L. Seeto, Zhi Wei Chen, Cheryl C. C. Neoh, Germaine S. M. Liew, Jing Jia Eng, Joyce C. M. Lam, Thuan Chong Quah, Ah Moy Tan, Yiong Huak Chan, Allen E. J. Yeoh, ",https://onlinelibrary.wiley.com/doi/10.1111/ajco.13756
Bayesian-network-based risk modeling and inference for structures under a sequence of main and aftershocks,"Changuk Mun, Junho Song, ",https://onlinelibrary.wiley.com/doi/10.1002/eqe.3604
Flood extent mapping during Hurricane Florence with repeat-pass L-band UAVSAR images,"Chao Wang, Tamlin M. Pavelsky, Fangfang Yao, Xiao Yang, Shuai Zhang, Bruce Chapman, Conghe Song, Antonia Sebastian, Brian Frizzelle, Elizabeth Frankenberg, Nicholas Clinton, ",https://onlinelibrary.wiley.com/doi/10.1029/2021WR030606
"COVID-19 and risk of retraumatization in adults with a past exposure to potentially traumatic events: A cross-cultural exploration across Egypt, Germany, and Italy","Mariam Fishere, Eleonora Bartoli, ",https://onlinelibrary.wiley.com/doi/10.1002/jcop.22815
A Contingency Theory Approach to Understanding Small Retail Business Continuity During COVID-19,"Michelle Childs, Tom Turner, Christopher Sneed, Ann Berry, ",https://onlinelibrary.wiley.com/doi/10.1111/fcsr.12434
Impact of pandemics on humanitarian retailing operations: a vouchers case,"Navid Mohamadi, S. Hataw Bakhishi, Sandra Transchel, Maria Besiou, ",https://onlinelibrary.wiley.com/doi/10.1111/poms.13690
Volatility Expectations and Returns,"LARS A. LOCHSTOER, TYLER MUIR, ",https://onlinelibrary.wiley.com/doi/10.1111/jofi.13120
"The taboo of retreat: The politics of sea level rise, managed retreat, and coastal property values in California","Ryan B. Anderson, ",https://onlinelibrary.wiley.com/doi/10.1002/sea2.12247
Small bowel bleeding treated successfully with transcatheter arterial embolization with imipenem/cilastatin,"Takahiro Arima, Kohei Morimoto, Kiyoshi Terai, Ken Kawamoto, Ken Muroya, Yuji Koba, Takashi Omura, ",https://onlinelibrary.wiley.com/doi/10.1002/ams2.733
"Good cause, not so good business? Sales and operations performance of cause-related marketing","Anníbal C. Sodero, ",https://onlinelibrary.wiley.com/doi/10.1111/jbl.12298
Multiscaled causality of infections on viral testing volumes: The case of COVID-19 in Tunisia,"Foued Saâdaoui, Hana Rabbouch, Hayet Saadaoui, Frédéric Dutheil, ",https://onlinelibrary.wiley.com/doi/10.1002/hpm.3427
Erosion Process of Multiple Debris Flow Surges Caused by Check Dam Removal: An Experimental Study,"Xi'an Wang, Jiangang Chen, Huayong Chen, Xiaoqing Chen, Shuai Li, Wanyu Zhao, ",https://onlinelibrary.wiley.com/doi/10.1029/2021WR030688
